price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms
23990000.0,15.0,СЗАО,48.1,25.3,5.0,30.0,2023.0,1.0,0.0,,2.0
16355789.0,6.0,САО,58.1,28.6,15.0,15.0,2023.0,1.0,0.0,2.84,2.0
24610900.0,16.0,СЗАО,52.7,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0
76167310.0,6.0,СЗАО,85.7,36.6,3.0,9.0,2023.0,1.0,0.0,3.25,2.0
39220000.0,27.0,ЗАО,68.8,29.8,9.0,13.0,2023.0,1.0,0.0,3.13,2.0
13758188.0,12.0,САО,57.3,,3.0,10.0,2024.0,1.0,1.0,3.0,2.0
33870474.0,4.0,ЦАО,49.8,27.2,7.0,22.0,2022.0,1.0,0.0,3.25,2.0
27000000.0,5.0,СЗАО,56.7,32.7,7.0,43.0,2023.0,1.0,0.0,,2.0
37620000.0,16.0,СЗАО,68.4,,6.0,6.0,2023.0,1.0,1.0,3.24,2.0
33804798.0,5.0,СЗАО,70.58,29.7,43.0,52.0,2024.0,1.0,0.0,2.85,2.0
37585483.0,10.0,ЗАО,62.7,30.1,15.0,28.0,2022.0,1.0,0.0,3.4,2.0
30320640.0,,СЗАО,72.0,43.7,41.0,47.0,2023.0,1.0,0.0,03.05,2.0
24765188.0,9.0,ЗАО,58.0,21.9,5.0,9.0,2023.0,1.0,0.0,2.74,2.0
20150000.0,17.0,САО,74.6,,7.0,12.0,2024.0,1.0,0.0,3.0,2.0
31658683.0,5.0,ЮАО,73.2,,6.0,24.0,2023.0,1.0,0.0,3.15,2.0
35467058.0,17.0,СЗАО,73.5,35.7,9.0,43.0,2023.0,1.0,0.0,3.15,2.0
17700000.0,4.0,СЗАО,43.3,,5.0,54.0,2024.0,1.0,0.0,2.85,2.0
30756000.0,9.0,СВАО,82.0,,8.0,27.0,2022.0,1.0,0.0,,2.0
27984400.0,5.0,ЮЗАО,43.0,,35.0,42.0,2024.0,1.0,0.0,3.0,2.0
139720000.0,1.0,ЦАО,99.8,,5.0,9.0,2023.0,1.0,1.0,,2.0
32357376.0,25.0,ЮАО,62.6,35.3,3.0,16.0,2023.0,1.0,0.0,3.15,2.0
34729435.0,4.0,ЦАО,71.1,,7.0,10.0,2024.0,1.0,1.0,3.0,2.0
21565260.0,20.0,СВАО,65.4,,8.0,22.0,2021.0,1.0,0.0,2.79,2.0
46855074.0,18.0,ЮЗАО,74.2,,23.0,32.0,2021.0,1.0,0.0,3.1,2.0
22142467.0,20.0,СВАО,60.2,,7.0,22.0,2021.0,1.0,0.0,2.65,2.0
36000000.0,5.0,СЗАО,70.3,25.6,16.0,29.0,2023.0,1.0,0.0,,2.0
16900000.0,7.0,СЗАО,61.88,24.5,6.0,24.0,2024.0,1.0,0.0,,2.0
46966924.0,5.0,ЗАО,83.89,,44.0,57.0,2024.0,1.0,0.0,2.9,2.0
18029400.0,16.0,САО,59.7,29.7,7.0,15.0,2023.0,1.0,0.0,2.84,2.0
19800000.0,10.0,СЗАО,46.0,,9.0,26.0,2024.0,1.0,0.0,4.4,2.0
11784950.0,9.0,ВАО,32.01,20.6,12.0,25.0,2024.0,1.0,1.0,2.8,2.0
34085000.0,14.0,ЮЗАО,85.0,,10.0,23.0,2022.0,1.0,0.0,,2.0
13290010.0,9.0,ВАО,35.33,23.7,20.0,25.0,2024.0,1.0,1.0,2.8,2.0
40799069.0,25.0,ЮАО,84.51,37.6,8.0,12.0,2023.0,1.0,0.0,3.0,2.0
33786748.0,7.0,ЮАО,72.2,,23.0,24.0,2023.0,1.0,0.0,2.97,2.0
29576436.0,6.0,ЮЗАО,60.6,,2.0,12.0,2024.0,1.0,0.0,3.17,2.0
34335474.0,22.0,ЮАО,92.78,31.9,2.0,17.0,2023.0,1.0,0.0,3.0,2.0
31520784.0,10.0,САО,74.1,,33.0,43.0,2023.0,1.0,0.0,4.2,2.0
34785711.0,20.0,ЮАО,66.5,28.6,11.0,46.0,2023.0,1.0,0.0,3.0,2.0
15836476.0,6.0,ЗАО,54.1,,2.0,25.0,2021.0,1.0,0.0,2.63,2.0
21286313.0,12.0,ЗАО,49.8,,10.0,21.0,2020.0,1.0,1.0,3.3,2.0
21000000.0,9.0,ЮАО,51.6,11.2,13.0,28.0,2024.0,1.0,0.0,3.0,2.0
27500000.0,5.0,СЗАО,64.0,27.1,17.0,44.0,2023.0,1.0,0.0,,2.0
29775786.0,5.0,,72.1,,2.0,24.0,2023.0,1.0,0.0,3.15,2.0
147160000.0,1.0,ЦАО,104.0,,6.0,9.0,2023.0,1.0,1.0,,2.0
73395040.0,6.0,СЗАО,79.2,36.2,7.0,9.0,2023.0,1.0,0.0,3.25,2.0
22553000.0,9.0,СВАО,62.1,,7.0,27.0,2022.0,1.0,0.0,,2.0
45357109.0,4.0,СВАО,79.7,,15.0,15.0,2021.0,1.0,1.0,,2.0
32810400.0,12.0,СВАО,75.6,56.7,2.0,37.0,2024.0,1.0,0.0,3.0,2.0
80000000.0,1.0,ЦАО,116.2,,25.0,85.0,2015.0,1.0,1.0,,2.0
19700000.0,26.0,СЗАО,53.2,,5.0,21.0,2024.0,1.0,0.0,3.0,2.0
28900000.0,8.0,ЮАО,62.81,,14.0,22.0,2023.0,1.0,0.0,,2.0
23688668.0,17.0,ЮВАО,60.5,23.9,5.0,30.0,2024.0,1.0,0.0,2.87,2.0
30048408.0,2.0,ЮЗАО,65.6,,14.0,25.0,2024.0,1.0,0.0,3.65,2.0
126980000.0,5.0,СЗАО,87.1,30.6,1.0,3.0,2023.0,1.0,1.0,3.1,2.0
35124125.0,5.0,ЗАО,63.52,,13.0,57.0,2024.0,1.0,0.0,2.9,2.0
15625394.0,10.0,ЗАО,51.4,,12.0,25.0,2021.0,1.0,0.0,2.63,2.0
30500000.0,14.0,СЗАО,68.3,,28.0,41.0,2024.0,1.0,0.0,,2.0
29350000.0,8.0,СЗАО,79.73,,3.0,8.0,2024.0,1.0,0.0,,2.0
29201900.0,19.0,ЮВАО,63.5,29.7,12.0,22.0,2023.0,1.0,0.0,3.0,2.0
29862660.0,19.0,ЮВАО,67.1,30.3,21.0,22.0,2023.0,1.0,0.0,3.0,2.0
25368000.0,,СЗАО,56.0,,40.0,47.0,2023.0,1.0,0.0,03.05,2.0
25178208.0,6.0,ЮАО,44.0,24.2,15.0,15.0,2023.0,1.0,0.0,3.15,2.0
20535330.0,4.0,ЗАО,62.2,35.2,23.0,29.0,2022.0,1.0,1.0,3.0,2.0
30064650.0,13.0,ЮЗАО,62.7,37.4,24.0,32.0,2021.0,1.0,0.0,3.1,2.0
53809097.0,23.0,ЮАО,79.1,36.1,7.0,11.0,2024.0,1.0,0.0,3.1,2.0
21091978.0,20.0,СВАО,64.2,,2.0,22.0,2021.0,1.0,0.0,2.79,2.0
32923968.0,2025.0,СЗАО,70.4,35.7,19.0,29.0,2023.0,1.0,0.0,3.15,2.0
11900000.0,20.0,ЮВАО,38.51,,18.0,21.0,2024.0,1.0,1.0,3.0,2.0
31044068.0,7.0,ЮАО,60.3,29.3,30.0,40.0,2023.0,1.0,0.0,3.15,2.0
27813044.0,4.0,СЗАО,62.09,29.6,51.0,52.0,2024.0,1.0,0.0,2.85,2.0
12900000.0,17.0,ЮВАО,41.54,,8.0,21.0,2024.0,1.0,1.0,3.0,2.0
15961450.0,4.0,ВАО,35.3,20.2,6.0,29.0,2023.0,1.0,0.0,3.0,2.0
28657590.0,11.0,ЮЗАО,59.1,31.4,27.0,34.0,2023.0,1.0,0.0,3.0,2.0
78120660.0,6.0,СЗАО,90.1,,2.0,9.0,2023.0,1.0,0.0,3.25,2.0
23700476.0,24.0,ЗАО,60.4,27.5,5.0,21.0,2023.0,1.0,0.0,2.74,2.0
15800000.0,17.0,ЮВАО,47.73,,7.0,21.0,2024.0,1.0,1.0,3.0,2.0
118150000.0,6.0,СЗАО,107.2,32.9,2.0,3.0,2023.0,1.0,1.0,3.1,2.0
173610717.0,9.0,ЦАО,126.3,,9.0,15.0,2023.0,1.0,0.0,3.0,2.0
30828160.0,4.0,ЮЗАО,85.4,,18.0,24.0,2022.0,1.0,1.0,,2.0
21000000.0,9.0,СВАО,55.0,29.0,19.0,20.0,2019.0,1.0,0.0,,2.0
35127607.0,4.0,ЦАО,69.6,,7.0,10.0,2024.0,1.0,1.0,3.0,2.0
29663214.0,4.0,СЗАО,60.62,28.7,46.0,52.0,2024.0,1.0,0.0,2.85,2.0
157144346.0,8.0,ЦАО,124.9,,8.0,13.0,2013.0,1.0,1.0,3.15,2.0
29612067.0,24.0,ЮАО,53.9,24.2,11.0,16.0,2023.0,1.0,0.0,3.15,2.0
30707300.0,2.0,ЮЗАО,65.0,,2.0,25.0,2024.0,1.0,0.0,3.65,2.0
16400000.0,18.0,ЮВАО,58.0,,4.0,15.0,2023.0,1.0,0.0,,2.0
26649000.0,,СЗАО,56.7,,47.0,47.0,2023.0,1.0,0.0,03.05,2.0
42230000.0,10.0,ЗАО,51.3,33.7,15.0,32.0,2024.0,1.0,1.0,,2.0
52251760.0,7.0,СЗАО,76.4,29.6,14.0,15.0,2023.0,1.0,0.0,3.23,2.0
14900000.0,19.0,СВАО,63.7,,13.0,25.0,2024.0,1.0,0.0,3.0,2.0
29976267.0,11.0,СВАО,58.9,,22.0,22.0,2024.0,1.0,0.0,3.0,2.0
41320668.0,25.0,ЮАО,73.2,46.2,11.0,14.0,2023.0,1.0,0.0,3.15,2.0
31122705.0,19.0,ЮАО,63.3,,8.0,8.0,2024.0,1.0,0.0,2.97,2.0
57600000.0,,ЗАО,68.4,25.9,14.0,14.0,2023.0,1.0,0.0,3.0,2.0
111060882.0,8.0,ЦАО,112.9,,10.0,13.0,2013.0,1.0,1.0,3.15,2.0
29143191.0,9.0,ЗАО,73.7,30.5,8.0,9.0,2023.0,1.0,0.0,2.74,2.0
45340500.0,16.0,СЗАО,90.5,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0
74935640.0,6.0,СЗАО,79.6,36.2,8.0,9.0,2023.0,1.0,0.0,3.25,2.0
33444818.0,22.0,ЮАО,71.71,31.2,6.0,29.0,2023.0,1.0,0.0,3.0,2.0
24300000.0,18.0,ЗАО,47.8,36.8,5.0,41.0,2024.0,1.0,0.0,4.2,2.0
40811432.0,4.0,ЦАО,83.0,47.3,10.0,10.0,2024.0,1.0,1.0,3.0,2.0
16811680.0,5.0,ЗАО,58.7,,5.0,25.0,2021.0,1.0,0.0,2.63,2.0
32354169.0,5.0,ЮЗАО,70.3,,22.0,25.0,2024.0,1.0,0.0,3.17,2.0
32107152.0,5.0,ЦАО,71.4,48.2,11.0,13.0,2022.0,1.0,1.0,3.4,2.0
25066035.0,9.0,СВАО,74.2,,16.0,27.0,2022.0,1.0,0.0,,2.0
17423703.0,20.0,СВАО,52.3,,13.0,22.0,2021.0,1.0,0.0,2.79,2.0
48374600.0,,ЦАО,99.78,29.8,36.0,51.0,2019.0,1.0,0.0,3.1,2.0
33847838.0,22.0,ЮАО,68.8,,26.0,26.0,2023.0,1.0,0.0,3.0,2.0
32701895.0,6.0,ЗАО,63.0,30.1,12.0,28.0,2022.0,1.0,0.0,3.12,2.0
28000000.0,15.0,СЗАО,65.0,32.0,3.0,13.0,2023.0,1.0,0.0,,2.0
13000000.0,5.0,ЮАО,65.0,34.0,12.0,18.0,2023.0,1.0,0.0,2.8,2.0
20004880.0,11.0,ЗАО,51.4,23.2,25.0,33.0,2023.0,1.0,0.0,2.62,2.0
31547360.0,16.0,СЗАО,52.3,29.4,14.0,24.0,2023.0,1.0,0.0,3.15,2.0
35955570.0,19.0,СВАО,91.7,,2.0,22.0,2023.0,1.0,0.0,3.0,2.0
62500000.0,27.0,ЗАО,74.4,27.6,14.0,14.0,2023.0,1.0,0.0,3.0,2.0
34511400.0,12.0,СВАО,74.7,,16.0,37.0,2024.0,1.0,0.0,3.0,2.0
23913372.0,7.0,ЗАО,60.7,26.7,9.0,21.0,2023.0,1.0,0.0,2.74,2.0
37666040.0,16.0,СЗАО,65.2,35.5,18.0,24.0,2023.0,1.0,0.0,3.15,2.0
47041200.0,8.0,ЦАО,71.6,66.6,35.0,51.0,2023.0,1.0,0.0,3.0,2.0
33527660.0,19.0,ЮВАО,70.7,27.8,22.0,22.0,2023.0,1.0,0.0,3.0,2.0
21931606.0,10.0,ЗАО,51.95,38.9,17.0,30.0,2023.0,1.0,0.0,3.3,2.0
20674751.0,19.0,СВАО,62.9,,25.0,33.0,2023.0,1.0,0.0,2.63,2.0
50784952.0,22.0,ЮАО,82.27,32.1,15.0,16.0,2023.0,1.0,0.0,3.0,2.0
30553120.0,2025.0,СЗАО,48.1,25.3,8.0,29.0,2023.0,1.0,0.0,3.15,2.0
35520737.0,7.0,ЮАО,63.4,36.2,17.0,22.0,2023.0,1.0,0.0,3.15,2.0
31000000.0,15.0,СЗАО,70.6,,9.0,13.0,2023.0,1.0,0.0,,2.0
32392797.0,2.0,ЮЗАО,69.4,,17.0,25.0,2024.0,1.0,0.0,3.65,2.0
29060395.0,4.0,ЦАО,42.5,,19.0,22.0,2022.0,1.0,0.0,3.25,2.0
40670000.0,10.0,ЮЗАО,116.2,70.8,12.0,14.0,2023.0,1.0,1.0,2.8,2.0
34900000.0,19.0,ЮВАО,65.7,,4.0,22.0,2023.0,1.0,0.0,05.05,2.0
41215500.0,18.0,ЮЗАО,64.5,,32.0,32.0,2021.0,1.0,0.0,3.1,2.0
34585280.0,6.0,СЗАО,70.1,32.7,3.0,13.0,2023.0,1.0,0.0,3.1,2.0
98763758.0,8.0,ЦАО,122.7,,3.0,13.0,2013.0,1.0,1.0,3.15,2.0
31374890.0,19.0,ЮВАО,70.9,32.7,14.0,21.0,2023.0,1.0,0.0,3.0,2.0
38806600.0,12.0,СЗАО,74.2,33.1,9.0,21.0,2023.0,1.0,0.0,3.1,2.0
21910757.0,8.0,САО,44.2,28.5,16.0,35.0,2023.0,1.0,0.0,3.1,2.0
39303176.0,4.0,ЦАО,81.4,37.7,7.0,10.0,2024.0,1.0,1.0,3.0,2.0
17500000.0,8.0,ЗАО,51.85,22.8,12.0,33.0,2023.0,1.0,0.0,,2.0
34073243.0,20.0,ЮАО,66.03,28.3,8.0,46.0,2023.0,1.0,0.0,3.0,2.0
90214161.0,12.0,ЦАО,87.3,54.7,5.0,9.0,2021.0,1.0,1.0,3.6,2.0
32075050.0,5.0,ЗАО,56.77,,33.0,57.0,2024.0,1.0,0.0,2.9,2.0
25500000.0,14.0,СЗАО,51.1,,36.0,41.0,2024.0,1.0,0.0,,2.0
16864281.0,5.0,ЗАО,60.7,,6.0,25.0,2021.0,1.0,0.0,2.63,2.0
18000000.0,12.0,ЮЗАО,42.6,21.2,6.0,28.0,2024.0,1.0,0.0,,2.0
29270700.0,5.0,ЮЗАО,66.6,,31.0,34.0,2023.0,1.0,0.0,3.0,2.0
17500000.0,20.0,ЮАО,39.6,22.8,15.0,24.0,2023.0,1.0,1.0,,2.0
16541000.0,5.0,ЗАО,55.6,,3.0,25.0,2021.0,1.0,0.0,2.63,2.0
31525164.0,4.0,,73.4,,3.0,24.0,2023.0,1.0,0.0,3.15,2.0
30095214.0,5.0,ЮЗАО,67.3,,19.0,25.0,2024.0,1.0,0.0,3.17,2.0
34504350.0,16.0,СЗАО,55.5,,18.0,24.0,2023.0,1.0,0.0,3.15,2.0
18432030.0,11.0,ЗАО,46.3,21.8,32.0,33.0,2023.0,1.0,0.0,2.62,2.0
41215500.0,13.0,ЮЗАО,64.5,,23.0,32.0,2021.0,1.0,0.0,3.1,2.0
20018048.0,30.0,ЗАО,48.6,,27.0,33.0,2023.0,1.0,0.0,2.62,2.0
29705530.0,25.0,ЮАО,64.4,32.9,6.0,16.0,2022.0,1.0,0.0,3.15,2.0
28500000.0,5.0,СЗАО,59.5,28.8,14.0,44.0,2023.0,1.0,0.0,,2.0
68144365.0,12.0,ЦАО,68.7,32.4,3.0,17.0,2022.0,1.0,0.0,3.6,2.0
34561246.0,22.0,ЮАО,70.59,32.4,21.0,21.0,2023.0,1.0,0.0,3.0,2.0
37252800.0,19.0,СВАО,93.6,,5.0,22.0,2023.0,1.0,0.0,3.0,2.0
37948000.0,11.0,СЗАО,71.6,,13.0,21.0,2023.0,1.0,0.0,3.1,2.0
16388393.0,5.0,ЗАО,55.1,,12.0,25.0,2021.0,1.0,0.0,2.63,2.0
14518035.0,16.0,САО,52.9,25.5,13.0,14.0,2023.0,1.0,0.0,2.84,2.0
14550000.0,5.0,СЗАО,51.1,,4.0,20.0,2024.0,1.0,0.0,,2.0
36841600.0,19.0,СВАО,92.8,,4.0,22.0,2023.0,1.0,0.0,3.0,2.0
37160243.0,15.0,ЮАО,73.6,,20.0,24.0,2023.0,1.0,0.0,3.15,2.0
41305307.0,4.0,ЦАО,86.5,50.8,3.0,10.0,2024.0,1.0,1.0,3.0,2.0
26600000.0,11.0,ВАО,70.26,,6.0,20.0,2024.0,1.0,0.0,,2.0
38150000.0,15.0,ЮАО,66.3,34.2,12.0,12.0,2023.0,1.0,0.0,,2.0
28000000.0,16.0,ЮАО,55.8,,2.0,21.0,2024.0,1.0,0.0,2.87,2.0
13050000.0,8.0,САО,34.1,,17.0,18.0,2022.0,1.0,0.0,,2.0
26993838.0,9.0,ЗАО,45.8,20.1,4.0,15.0,2022.0,1.0,0.0,3.12,2.0
14180992.0,10.0,ЗАО,47.6,,3.0,25.0,2022.0,1.0,0.0,2.7,2.0
38951100.0,13.0,ЮЗАО,76.6,45.8,2.0,32.0,2021.0,1.0,0.0,3.1,2.0
36740000.0,27.0,ЗАО,68.8,24.6,8.0,14.0,2023.0,1.0,0.0,3.0,2.0
31171960.0,19.0,ЮВАО,69.7,29.3,21.0,22.0,2023.0,1.0,0.0,3.0,2.0
9500000.0,16.0,СЗАО,45.18,28.5,27.0,28.0,2023.0,1.0,1.0,,2.0
20301398.0,27.0,ЮАО,71.6,29.1,2.0,33.0,2023.0,1.0,0.0,2.62,2.0
36318342.0,5.0,ЗАО,61.6,,12.0,57.0,2024.0,1.0,0.0,2.9,2.0
20588673.0,16.0,СЗАО,61.7,,2.0,24.0,2024.0,1.0,0.0,3.0,2.0
29890248.0,6.0,ЮЗАО,62.6,,2.0,12.0,2024.0,1.0,0.0,3.17,2.0
469028980.0,8.0,ЦАО,126.2,63.6,2.0,5.0,2023.0,1.0,0.0,3.0,2.0
35158818.0,7.0,ЮАО,69.8,32.3,4.0,40.0,2023.0,1.0,0.0,3.15,2.0
35800000.0,5.0,ЗАО,79.5,38.8,3.0,20.0,2024.0,1.0,0.0,,2.0
34371540.0,2025.0,СЗАО,56.7,29.4,14.0,29.0,2023.0,1.0,0.0,3.15,2.0
29600000.0,15.0,СЗАО,65.1,41.1,23.0,41.0,2024.0,1.0,0.0,3.2,2.0
15621827.0,10.0,ЗАО,53.6,,2.0,25.0,2021.0,1.0,0.0,2.63,2.0
